County,Population
Aitkin,15826
Anoka,353775
Becker,34227
Beltrami,46784
Benton,40476
Big Stone,4974
Blue Earth,67368
Brown,25076
Carlton,35709
Carver,103561
Cass,29462
Chippewa,11876
Chisago,55844
Clay,64029
Clearwater,8872
Cook,5402
Cottonwood,11279
Crow Wing,64775
Dakota,425271
Dodge,20807
Douglas,37820
Faribault,13727
Fillmore,21031
Freeborn,30465
Goodhue,46330
Grant,5962
Hennepin,1255296
Houston,18670
Hubbard,21287
Isanti,40004
Itasca,45180
Jackson,9873
Kanabec,16205
Kandiyohi,42909
Kittson,4272
Koochiching,12355
Lac qui Parle,6645
Lake,10571
Lake of the Woods,3747
Le Sueur,28425
Lincoln,5641
Lyon,25696
McLeod,35788
Mahnomen,5508
Marshall,9353
Martin,19737
Meeker,23149
Mille Lacs,25963
Morrison,33119
Mower,39931
Murray,8247
Nicollet,34176
Nobles,21667
Norman,6466
Olmsted,156446
Otter Tail,58416
Pennington,14110
Pine,29254
Pipestone,9163
Polk,31384
Pope,11107
Ramsey,546598
Red Lake,4005
Redwood,15193
Renville,14572
Rice,66549
Rock,9386
Roseau,15259
St. Louis,199499
Scott,147201
Sherburne,96015
Sibley,14871
Stearns,159788
Steele,36710
Stevens,9770
Swift,9329
Todd,24603
Traverse,3282
Wabasha,21564
Wadena,13681
Waseca,18658
Washington,259072
Watonwan,10903
Wilkin,6264
Winona,50744
Wright,136387
Yellow Medicine,9775